time,reason,dir,station,cat_type,day
7:59 PM,Train unloaded pax at Magallanes Stn SB at 7:59pm due to door failure.,South Bound,Ayala Avenue - Magallanes,CAT 2,"November 23, 2017"
9:36 PM,Train unloaded pax at  Santolan Station SB at 9:36 PM due to atp failure.,South Bound,Cubao - Santolan Anapolis,CAT 4,"November 22, 2017"
8:33 PM,Service Interruption at Buendia to Guadalupe NB.,North Bound,Buendia - Guadalupe,CAT 4,"November 21, 2017"
8:50 PM,Provisional Service implemented from North Ave. Station to Shaw Blvd Station and vice versa.,North Bound,Buendia - Guadalupe,CAT 4,"November 20, 2017"
9:04 AM,Train unloaded passengers due to technical problem,South Bound,Santolan Anapolis,CAT 2,"November 17, 2017"
9:03 AM,Provisional service was implemented due to train failure.,North Bound,Buendia - Ayala Avenue,CAT 4,"November 16, 2017"
8:57 AM,Train unloaded passengers due to technical problem.,South Bound,Quezon Avenue,CAT 3,"November 15, 2017"
9:30 AM,Resumed normal revenue service.,North Bound,Buendia - Ayala Avenue,CAT 4,"November 14, 2017"
9:29 PM,Train unloaded passengers due to technical problem.,South Bound,Shaw Boulevard,CAT 3,"November 13, 2017"
7:32 AM,Train unloaded passengers due to technical problem.,South Bound,Cubao,CAT 3,"November 12, 2017"
7:34 AM,Train unloaded passengers at Shaw Station NB at 7:34am due to technical problem.,North Bound,Shaw Boulevard,CAT 2,"November 11, 2017"
9:00 AM,Train unloaded passengers at Kamuning SB at 9:00AM due to technical problem.,South Bound,GMA Kamuning,CAT 3,"November 10, 2017"
9:06 AM,Train unloaded passengers at Ortigas SB at 9:06 AM due to technical problem.,South Bound,Ortigas,CAT 3,"November 09, 2017"
10:59 AM,Train unloaded passengers at Buendia Station SB at 10:59 AM due to technical problem.,South Bound,Buendia,CAT 3,"November 08, 2017"
12:40 PM,Train unloaded passengers at Kamuning Station SB at 12:40 PM due to technical problem.,South Bound,GMA Kamuning,CAT 3,"November 07, 2017"
1:47 PM,Train unloaded passengers at Magallanes Station SB at 1:47 PM due to technical problem.,South Bound,Magallanes,CAT 3,"November 06, 2017"
12:27 PM,Train unloaded pax at Shaw Blvd. Stn NB at 12:27 PM due to door failure.,North Bound,Shaw Boulevard,CAT 3,"November 04, 2017"
1:11 PM,Train unloaded pax at Guadalupe Stn NB at 1:11PM due to technical problem.,North Bound,Guadalupe,CAT 3,"November 03, 2017"
5:27 AM,Train unloaded pax at 5:27am at Ayala Station NB due to atp failure.,North Bound,Ayala Avenue,CAT 3,"November 02, 2017"
8:10 AM,Train unloaded pax at 8:10am at North Ave Station SB due to door failure.,South Bound,North Avenue,CAT 3,"November 01, 2017"
12:57 PM,Train unloaded pax at Magallanes stn. NB at 12:57 PM due to brake failure.,North Bound,Magallanes,CAT 3,"October 31, 2017"
6:43 PM,Train unloaded passengers due to technical problem.,South Bound,Boni Avenue,CAT 3,"October 28, 2017"
8:23 AM,Train unloaded passengers due to technical problem.,South Bound,Quezon Avenue,CAT 3,"October 27, 2017"
10:53 AM,Train unloaded passengers due to technical problem.,South Bound,Magallanes,CAT 3,"October 26, 2017"
3:47 PM,Train unloaded passengers due to technical problem.,South Bound,Magallanes,CAT 3,"October 25, 2017"
5:48 PM,Train unloaded passengers due to technical problem,North Bound,Magallanes,CAT 4,"October 24, 2017"
8:49 PM,Train unloaded passengers due to technical problem.,South Bound,Ortigas,CAT 4,"October 23, 2017"
8:24 PM,Train stopped due to technical problem. ,South Bound,Santolan Anapolis - Ortigas,CAT 4,"October 21, 2017"
6:16 AM,Provisional Service implemented from North Ave to Shaw Blvd Stn and vice versa at 6:16am.,South Bound,North Avenue - Shaw Boulevard,CAT 4,"October 20, 2017"
7:34 AM,Normal operation from North Ave. to Taft Ave.  and vice versa resumed at 7:34 AM.,North Bound,Ayala Avenue - Buendia,CAT 1,"October 19, 2017"
8:16 AM,Train unloaded passengers at Shaw SB at 8:16AM due to door problem.,South Bound,Shaw Boulevard,CAT 3,"October 18, 2017"
1:19 PM,Train unloaded passengers at Buendia Station SB at 1:19PM due to technical problem.,South Bound,Buendia,CAT 2,"October 17, 2017"
2:06 PM,Train unloaded passengers at Guadalupe Station SB at 2:06PM due to technical problem.,South Bound,Guadalupe,CAT 3,"October 14, 2017"
4:22 PM,Train unloaded passengers at Cubao Station SB at 4:22PM due to technical problem.,South Bound,Cubao,CAT 2,"October 13, 2017"
7:01 PM,Train unloaded passengers at Cubao Station SB at 7:01PM due to technical problem.,South Bound,Cubao,CAT 2,"October 12, 2017"
9:47 AM,Train unloaded passengers due to technical problem.,South Bound,Quezon Avenue,CAT 2,"October 11, 2017"
6:41 PM,Train unloaded pax at Guadalupe Stn NB at 6:41pm due to technical problem.,North Bound,Guadalupe,CAT 3,"October 10, 2017"
2:06 PM,Train unloaded passengers at Guadalupe Station at 2:06 PM due to technical problem.,South Bound,Guadalupe,CAT 3,"October 09, 2017"
8:26 AM,"Train experienced technical problem, unloaded passengers at Ortigas Station SB 8:35am.",South Bound,Santolan Anapolis - Ortigas,CAT 3,"October 08, 2017"
3:21 PM,Train unloaded passengers at Kamuning Station NB at 3:21PM due to technical problem.,North Bound,GMA Kamuning,CAT 2,"October 07, 2017"
4:43 PM,Train unloaded passengers at Shaw Station SB at 4:43PM due to technical problem.,South Bound,Shaw Boulevard,CAT 3,"October 06, 2017"
4:55 PM,Train unloaded passengers at Guadalupe Station NB at 4:55 PM due to technical problem.,North Bound,Guadalupe - Boni Avenue,CAT 4,"October 05, 2017"
6:42 PM,Train unloaded passengers at Magallanes Station NB at 6:42 PM due to technical problem.,North Bound,Magallanes,CAT 2,"October 04, 2017"
9:43 PM,Train unloaded passengers at Magallanes Station NB at 9:43PM due to technical problem.,North Bound,Magallanes,CAT 3,"October 02, 2017"
7:57 AM,Train unloaded passengers due to technical problem.,North Bound,Boni Avenue,CAT 3,"September 30, 2017"
8:11 AM,"Service interruption, provisional service implemented from North to Shaw Station. ",North Bound,Boni Avenue,CAT 4,"September 29, 2017"
4:36 PM,Train unloaded pax at Buendia Stn NB at 4:36pm due to technical problem.,North Bound,Buendia,CAT 2,"September 28, 2017"
6:27 AM,Train unloaded passengers at Kamuning Station SB at 6:27 AM due to technical problem.,South Bound,GMA Kamuning,CAT 3,"September 27, 2017"
8:01 AM,Train unloaded passengers at Ortigas Station NB at 8:01AM due to technical problem.,North Bound,Ortigas,CAT 3,"September 26, 2017"
12:48 PM,Train unloaded passengers at Kamuning Station NB at 12:48 PM due to technical problem.,North Bound,GMA Kamuning,CAT 3,"September 25, 2017"
2:19 PM,Train unloaded pax at Santolan Stn SB at 2:19PM due to technical problem. ,South Bound,Santolan Anapolis,CAT 2,"September 24, 2017"
7:19 AM,Train unloaded pax at Cubao Stn SB at 7:19am due to technical problem. ,South Bound,Cubao,CAT 2,"September 22, 2017"
8:09 AM,Train unloaded passengers due to technical problem.,South Bound,Ortigas,CAT 3,"September 20, 2017"
3:24 PM,Train unloaded passengers at Shaw Station NB at 3:24PM due to technical problem.,North Bound,Shaw Boulevard,CAT 3,"September 19, 2017"
7:03 PM,Train unloaded passengers at Santolan Station NB at 7:03PM due to technical problem.,North Bound,Santolan Anapolis,CAT 3,"September 18, 2017"
6:00 AM,Train unloaded pax at Santolan Stn NB at 6:00am due to technical problem.,North Bound,Santolan Anapolis,CAT 3,"September 16, 2017"
8:40 AM,Train unloaded pax at Shaw Blvd Stn NB at 8:40am due to technical problem. ,North Bound,Shaw Boulevard,CAT 3,"September 15, 2017"
5:13 PM,Train unloaded pax at Guadalupe Stn NB at 5:13pm due to technical problem.,North Bound,Buendia - Guadalupe,CAT 3,"September 14, 2017"
5:44 AM,Train unloaded pax at Santolan Stn NB at 5:44am due to technical problem.,North Bound,Santolan Anapolis,CAT 2,"September 13, 2017"
7:04 AM,Train unloaded pax at Shaw Blvd Stn NB at 7:04am due to technical problem.,North Bound,Shaw Boulevard,CAT 2,"September 13, 2017"
5:23 AM,Train unloaded passengers at Shaw pocket track SB at 5:23 AM due to technical problem.,South Bound,Shaw Boulevard,CAT 3,"September 12, 2017"
7:23 AM,Train unloaded passengers at Ayala Station SB at 7:23 AM due to technical problem.,South Bound,Ayala Avenue,CAT 3,"September 11, 2017"
6:17 AM,Train unloaded pax at Quezon Ave Stn SB at 6:17am due to technical problem.,South Bound,Quezon Avenue,CAT 3,"September 09, 2017"
6:43 AM,Provisional Service implemented from Shaw Blvd to Taft Avenue Stn and vice versa at 6:43am.,South Bound,Shaw Boulevard - Taft Avenue,CAT 4,"September 08, 2017"
6:51 AM,Provisional Service lifted at 6:51am and normal operation resumed.,North Bound,Shaw Boulevard - Taft Avenue,CAT 1,"September 07, 2017"
8:51 AM,Provisional Service implemented from Shaw Blvd to Taft Ave Stn & vice versa at 8:51am due to track problem.,South Bound,Shaw Boulevard - Taft Avenue,CAT 4,"September 06, 2017"
9:39 AM,Provisional Service lifted and normal operation resumed at 9:39am.,North Bound,Shaw Boulevard - Taft Avenue,CAT 1,"September 04, 2017"
10:46 PM,Train unloaded pax at 10:46pm at Guadalupe Stn NB due to technical problem.,North Bound,Guadalupe,CAT 3,"September 01, 2017"
2:50 PM,Train unloaded pax at Cubao Stn. NB at 2:50 PM due to technical problem.,North Bound,Cubao,CAT 2,"August 31, 2017"
5:40 PM,Train unloaded passengers at 5:40 pm Shaw Boulevard station NB due to technical problem.,North Bound,Shaw Boulevard,CAT 3,"August 30, 2017"
8:58 AM,Train unloaded pax at 8:58 am at Ortigas Stn SB due to technical problem.,South Bound,Ortigas,CAT 3,"August 28, 2017"
8:18 PM,Train unloaded passengers due to technical problem.,South Bound,Ayala Avenue,CAT 3,"August 26, 2017"
6:22 AM,Train unloaded passengers at Magallanes Station SB at 6:22AM due to technical problem.,South Bound,Magallanes,CAT 2,"August 25, 2017"
4:25 PM,Train unloaded passengers due to technical problem.,South Bound,Quezon Avenue,CAT 2,"August 24, 2017"
3:46 PM,"Train experienced technical problem, unloaded passengers at Cubao Station SB.",South Bound,GMA Kamuning - Cubao,CAT 3,"August 23, 2017"
6:00 PM,Train unloaded passengers due to technical problem.,North Bound,Buendia,CAT 3,"August 22, 2017"
1:25 PM,Train unloaded passengers due to technical problem.,North Bound,Boni Avenue,CAT 2,"August 20, 2017"
3:39 PM,Train unloaded pax at 3:39pm at Guadalupe Stn NB due to technical problem.,North Bound,Guadalupe,CAT 3,"August 19, 2017"
3:51 PM,Train unloaded pax at 3:51pm at GMA Kamuning Stn NB due to technical problem.,North Bound,GMA Kamuning,CAT 3,"August 18, 2017"
4:13 PM,Train unloaded pax at 4:13pm at Quezon Ave Stn SB due to technical problem.,South Bound,Quezon Avenue,CAT 3,"August 17, 2017"
10:05 PM,Provisional Service implemented at 10:05 pm from North Ave to Shaw Blvd Station due to flooded tracks.,South Bound,North Avenue - Shaw Boulevard,CAT 4,"August 16, 2017"
5:52 AM,Train unloaded passengers due to technical problem.,South Bound,Ortigas,CAT 3,"August 15, 2017"
11:28 AM,Train unloaded passengers at Kamuning Station SB at 11:28 AM due to technical problem.,South Bound,GMA Kamuning,CAT 3,"August 14, 2017"
1:56 PM,Train unloaded passengers at Buendia Station SB at 1:56 PM due to technical problem.,South Bound,Buendia,CAT 3,"August 12, 2017"
3:00 PM,Provisional Service implemented  from North Ave to Shaw Blvd Stn at 3 pm due to technical problem. ,South Bound,North Avenue - Shaw Boulevard,CAT 4,"August 11, 2017"
4:15 PM,Provisional Service lifted and normal operation resumed at 4:15 pm.,North Bound,North Avenue - Shaw Boulevard,CAT 1,"August 10, 2017"
7:27 PM,Train unloaded pax at Santolan Stn SB at 7:27pm due to technical problem.,South Bound,Santolan Anapolis,CAT 3,"August 09, 2017"
4:19 PM,Provisional Service implemented from North Ave to Shaw Blvd Stn at 4:19pm due to technical problem.,South Bound,North Avenue - Shaw Boulevard,CAT 4,"August 08, 2017"
6:30 PM,Train unloaded pax at 6:50 pm at Cubao Stn NB due to technical problem.,North Bound,Santolan Anapolis - Cubao,CAT 4,"August 07, 2017"
6:30 PM,Service Interruption due to train door failure at interstation of Santolan Cubao NB at 6:30 pm.,North Bound,Santolan Anapolis - Cubao,CAT 4,"August 05, 2017"
2:11 PM,Train unloaded pax at 2:11pm at Santolan Stn SB due to technical problem. ,South Bound,Santolan Anapolis,CAT 2,"August 04, 2017"
8:48 PM,Service interruption due to Signaling problem at North Ave. Station to Quezon Ave. Station SB at 8:48 PM.,South Bound,North Avenue - Quezon Avenue,CAT 4,"August 03, 2017"
9:01 PM,Normal operation resumed from North Ave. Station to Taft Ave. Station and vice versa at 9:01PM.,South Bound,North Avenue - Quezon Avenue,CAT 1,"August 02, 2017"
7:49 AM,Train unloaded passengers due to technical problem,South Bound,Cubao,CAT 2,"August 01, 2017"
8:47 AM,Train stopped moving due to technical problem.,South Bound,Magallanes - Taft Avenue,CAT 3,"July 31, 2017"
9:44 PM,Train unloaded pax at 9:44 pm at Boni Stn NB due to technical problem.,North Bound,Boni Avenue,CAT 3,"July 30, 2017"
10:08 PM,Train unloaded passengers due to technical problem.,North Bound,Santolan Anapolis,CAT 3,"July 29, 2017"
6:12 AM,Train unloaded passengers due to technical problem.,South Bound,Shaw Boulevard,CAT 3,"July 27, 2017"
3:00 PM,Provisional Service implemented at 3pm from Shaw to Taft Avenue Stn and vice versa due to technical problem.,South Bound,Shaw Boulevard - Taft Avenue,CAT 4,"July 26, 2017"
3:33 PM,Provisional service lifted at 3:33 pm and normal revenue operation resumed.,North Bound,Shaw Boulevard - Taft Avenue,CAT 1,"July 24, 2017"
5:00 PM,Train unloaded pax at Ayala Stn SB at 5:00 pm due to technical problem. ,South Bound,Ayala Avenue,CAT 3,"July 22, 2017"
9:30 PM,Train unloaded pax at Santolan Stn NB at 9:30 pm due to technical problem.,North Bound,Santolan Anapolis,CAT 3,"July 20, 2017"
10:06 AM,Train unloaded passengers due to train failure.,South Bound,Quezon Avenue,CAT 3,"July 19, 2017"
7:18 PM,Train unloaded passengers due to technical problem.,South Bound,GMA Kamuning,CAT 3,"July 18, 2017"
3:01 PM,Train unloaded passengers due to technical problem.,North Bound,Guadalupe,CAT 2,"July 17, 2017"
5:27 PM,Train unloaded passengers due to technical problem.,North Bound,Magallanes,CAT 2,"July 16, 2017"
3:22 PM,Train unloaded passengers due to technical problem.,South Bound,Guadalupe,CAT 2,"July 15, 2017"
7:22 AM,Train unloaded passengers at Buendia NB at 7:22 AM due to technical problem.,North Bound,Buendia,CAT 3,"July 14, 2017"
8:55 AM,Train unloaded passengers at Cubao Station SB at 8:55 am due to technical problem.,South Bound,Cubao,CAT 3,"July 13, 2017"
7:14 PM,MRT-3 operation temporarily stopped due track problem.,South Bound,Santolan Anapolis - Ortigas,CAT 4,"July 11, 2017"
7:43 PM,MRT-3 resumed operation.,South Bound,Santolan Anapolis - Ortigas,CAT 4,"July 08, 2017"
3:28 PM,Train unloaded passengers due to technical problem.,North Bound,Ayala Avenue,CAT 3,"July 06, 2017"
7:18 PM,Train unloaded passengers due to technical problem.,North Bound,Cubao,CAT 3,"July 05, 2017"
2:51 PM,Train unloaded passengers due to technical problem.,North Bound,Ayala Avenue,CAT 3,"July 04, 2017"
5:29 PM,Train unloaded passengers due to technical problem.,North Bound,Ayala Avenue,CAT 2,"July 03, 2017"
8:35 AM,Service interruption experienced due to Signaling problem.,South Bound,North Avenue - Quezon Avenue,CAT 4,"July 01, 2017"
7:19 AM,Service interruption at Boni Station SB at 7:19 AM due to technical problem.,South Bound,Boni Avenue,CAT 4,"June 30, 2017"
7:46 AM,Normal operation resumed at 7:46AM from North Ave. Station to Taft Ave. Station. ,South Bound,Boni Avenue - Guadalupe,CAT 1,"June 29, 2017"
5:57 AM,Provisional Service implemented from Shaw Blvd to Taft Ave Stn and vice versa at 5:57am.,North Bound,Cubao - GMA Kamuning,CAT 4,"June 28, 2017"
6:47 AM,Provisional Service lifted and normal operation resumed at 6:47 am.,North Bound,Cubao - GMA Kamuning,CAT 1,"June 23, 2017"
7:15 PM,Train unloaded passengers due to technical problem.,North Bound,Ayala Avenue,CAT 3,"June 22, 2017"
9:48 PM,Train unloaded passengers due to technical problem.,North Bound,Magallanes,CAT 3,"June 20, 2017"
6:26 AM,Train unloaded passengers due to technical problem.,South Bound,Ortigas,CAT 3,"June 19, 2017"
10:04 AM,"Train experienced technical problem, unloaded passengers at Quezon Ave Station NB 10:06am.",North Bound,GMA Kamuning - Quezon Avenue,CAT 2,"June 16, 2017"
3:30 PM,Train unloaded pax at Santolan Stn SB at 3:44pm by reverse movement due to technical problem.,South Bound,Santolan Anapolis,CAT 4,"June 15, 2017"
11:40 AM,Train unloaded passengers due to technical problem.,South Bound,Buendia,CAT 3,"June 14, 2017"
11:40 AM,Train unloaded passengers due to technical problem.,South Bound,Buendia,CAT 3,"June 13, 2017"
1:26 PM,Train unloaded passengers due to technical problem.,North Bound,Magallanes,CAT 3,"June 12, 2017"
2:17 PM,Train unloaded pax at GMA Kamuning Stn NB at 2:17 PM due to technical problem.,North Bound,GMA Kamuning,CAT 3,"June 11, 2017"
5:05 PM,Train unloaded pax at Cubao Stn NB due to technical problem.,North Bound,Cubao,CAT 2,"June 08, 2017"
2:27 PM,Train unloaded pax at 2:27pm at Cubao Stn NB due to technical problem.,North Bound,Cubao,CAT 2,"June 07, 2017"
6:09 AM,Train unloaded passengers due to technical problem.,South Bound,GMA Kamuning,CAT 3,"June 05, 2017"
1:55 PM,Trains not stopping at Ayala Station NB/SB due to thick smoke at unpaid area.,North Bound,Ayala Avenue,CAT 1,"June 04, 2017"
3:00 PM,Normal operation at Ayala Station resumed.,South Bound,Ayala Avenue,CAT 1,"June 02, 2017"
6:54 PM,Train unloaded passengers at Ortigas Station NB at 6:54 pm due to technical problem.,North Bound,Ortigas,CAT 3,"June 01, 2017"
8:12 PM,Train unloaded passengers at Boni Ave. Station SB at 8:12 PM due to technical problem.,South Bound,Boni Avenue,CAT 3,"May 31, 2017"
12:36 PM,"Train experienced technical problem, unloaded passengers.",South Bound,Boni Avenue,CAT 2,"May 29, 2017"
10:06 PM,Train unloaded passengers at Santolan NB at 10:06PM due to technical problem.,North Bound,Santolan Anapolis,CAT 3,"May 28, 2017"
8:30 AM,Train unloaded pax at Ortigas Stn SB at 8:30am due to technical problem.,South Bound,Ortigas,CAT 3,"May 27, 2017"
10:13 AM,Train unloaded pax at 10:13am at GMA Kamuning Stn NB due to technical problem.,North Bound,GMA Kamuning,CAT 3,"May 26, 2017"
9:32 PM,Train unloaded passengers due to technical problem.,South Bound,Cubao,CAT 3,"May 24, 2017"
7:20 AM,Train unloaded passengers due to technical problem.,South Bound,Ayala Avenue,CAT 3,"May 23, 2017"
11:16 AM,Train unloaded passengers at Quezon Station SB at 11:16 AM due to technical problem.,South Bound,Quezon Avenue,CAT 2,"May 22, 2017"
8:20 AM,Train unloaded pax at Cubao Stn NB at 8:20am  due to technical problem.,North Bound,Cubao,CAT 3,"May 20, 2017"
2:15 PM,Train unloaded passengers due to technical problem.,South Bound,Quezon Avenue,CAT 3,"May 19, 2017"
6:28 AM,Train unloaded passengers at Shaw Blvd. Station at 6:28 AM due to technical problem.,North Bound,Shaw Boulevard,CAT 3,"May 18, 2017"
2:55 PM,Train unloaded passengers due to technical problem.,North Bound,Quezon Avenue,CAT 3,"May 17, 2017"
3:14 PM,Provisional service implemented from Shaw - Taft NB/SB due to technical problem.,North Bound,Quezon Avenue,CAT 4,"May 16, 2017"
3:40 PM,"Provisional service operations lifted, normal operations resumed.",North Bound,Quezon Avenue,CAT 1,"May 15, 2017"
4:02 PM,Train unloaded passengers due to technical problem.,South Bound,Shaw Boulevard,CAT 3,"May 14, 2017"
10:25 AM,Train unloaded passengers due to technical problem.,South Bound,Shaw Boulevard,CAT 3,"May 13, 2017"
7:12 AM,Provisional Service implemented from North Avenue to Shaw Blvd Stn & vice versa at 7:12am due to technical problem.,South Bound,Ayala Avenue - Magallanes,CAT 4,"May 12, 2017"
8:47 AM,MRT3 resumed normal operation at 8:47am.,South Bound,Ayala Avenue - Magallanes,CAT 1,"May 11, 2017"
10:42 AM,Train unloaded pax at Ortigas Stn NB at 10:42am due to technical problem.,North Bound,Ortigas,CAT 4,"May 10, 2017"
10:46 AM,MRT3 resumed normal operation at 10:46am. ,North Bound,Ortigas,CAT 1,"May 08, 2017"
12:45 PM,Train unloaded pax at Ortigas Stn NB at 12:45 PM due to technical problem. ,North Bound,Ortigas,CAT 3,"May 05, 2017"
5:33 AM,Train unloaded passengers at Santolan Station SB at 5:33AM due to technical problem.,South Bound,Santolan Anapolis,CAT 3,"April 30, 2017"
4:36 PM,Train unloaded passengers due to technical problem.,South Bound,Cubao,CAT 3,"April 28, 2017"
7:30 PM,Peak hour period extended by Management to around 8:30PM.,North Bound,North Avenue - Taft Avenue,CAT 1,"April 27, 2017"
7:22 AM,Train unloaded passengers at Cubao Station SB at 7:22 AM due to technical problem.,South Bound,Cubao,CAT 3,"April 25, 2017"
12:14 PM,Train unloaded passengers at Santolan Station SB at 12:14 PM due to technical problem. ,South Bound,Santolan Anapolis,CAT 2,"April 24, 2017"
1:54 PM,Train unloaded pax at Boni Station SB at 1:54pm due to technical problem.,South Bound,Boni Avenue,CAT 3,"April 21, 2017"
5:56 AM,Provisional Service implemented from North Avenue to Shaw Blvd Stn & vice versa at 5:56am due to tracks failure.,North Bound,Magallanes - Ayala Avenue,CAT 4,"April 20, 2017"
6:32 AM,MRT-3 resumed normal operation.,North Bound,Magallanes - Ayala Avenue,CAT 4,"April 19, 2017"
1:46 PM,Train unloaded passengers due to a technical problem.,North Bound,Magallanes,CAT 2,"April 18, 2017"
8:48 PM,Service interruption experienced due to technical problem at 8:48pm. Provisional service implemented from North Ave - Shaw Blvd Station and vice versa at 9:00pm.,South Bound,Magallanes,CAT 4,"April 17, 2017"
10:00 PM,Provisional service was lifted and normal operation resumed at 10:00pm.,South Bound,Magallanes,CAT 1,"April 12, 2017"
3:30 PM,Train unloaded pax at Ortigas stn SB at 330pm due to technical problem.,South Bound,Ortigas,CAT 3,"April 11, 2017"
4:07 PM,Train unloaded pax at Boni Stn NB at 4:07pm due to technical problem.,North Bound,Boni Avenue,CAT 3,"April 08, 2017"
5:30 PM,Train unloaded pax at Ortigas Stn SB at 5:30pm due to technical problem. ,South Bound,Ortigas,CAT 3,"April 07, 2017"
5:43 AM,Service interruption experienced due to technical problem. Provisional service implemented  at North Ave - Shaw Blvd Stations 05:45am.,North Bound,Boni Avenue - Shaw Boulevard,CAT 4,"April 06, 2017"
6:12 AM,"Provisional service lifted, normal operations resumed 06:12am",North Bound,Boni Avenue - Shaw Boulevard,CAT 1,"April 05, 2017"
7:18 PM,Train unloaded passengers due to technical problem.,South Bound,Ayala Avenue,CAT 2,"April 01, 2017"
5:11 AM,Train unloaded passengers at Kamuning Station SB at 5:11 AM due to technical problem.,South Bound,GMA Kamuning,CAT 3,"March 31, 2017"
10:33 AM,Train unloaded passengers at Ortigas Station SB at 10:33 AM due to technical problem.,South Bound,Ortigas,CAT 2,"March 30, 2017"
9:14 AM,Train unloaded passengers at Santolan Stn SB at 9:14am due to technical problem.,South Bound,Santolan Anapolis,CAT 3,"March 29, 2017"
7:54 PM,Train unloaded passengers due to technical problem.,North Bound,Ayala Avenue,CAT 3,"March 28, 2017"
9:00 AM,Train unloaded passengers due to technical problem.,South Bound,Cubao,CAT 3,"March 27, 2017"
10:41 AM,Train unloaded passengers due to technical problem.,South Bound,Ayala Avenue,CAT 3,"March 25, 2017"
7:21 AM,Train unloaded passengers at Ayala Station NB at 7:21 AM due to technical problem.,North Bound,Ayala Avenue,CAT 3,"March 24, 2017"
1:12 PM,Train unloaded passengers at Quezon Ave. Station SB at 1:12 PM due to technical problem.,South Bound,Quezon Avenue,CAT 3,"March 23, 2017"
6:03 PM,Train experienced technical problem.,North Bound,Quezon Avenue - North Avenue,CAT 3,"March 22, 2017"
